word,code
jock,__Jak_____
tore,__tor_____
jig,__JIg_____
swank,_sw@nk____
group,_grup_____
thank,__T@nk____
nymph,__nImf____
torn,__torn____
maid,__med_____
stroll,strol_____
thump,__T^mp____
mail,__mel_____
main,__men_____
non,__nan_____
paunch,__panC____
halt,__halt____
fling,_flIng____
nod,__nad_____
rake,__rek_____
lunch,__l^nC____
flint,_flInt____
half,__h@lf____
not,__nat_____
bath,__b@T_____
hall,__hal_____
nor,__nor_____
wont,__want____
name,__nem_____
clutch,_kl^tC____
drop,_drap_____
flown,_flon_____
rock,__rak_____
square,skwer_____
grouse,_grWs_____
gash,__g@S_____
torch,__torC____
yeah,__y@______
goose,__gus_____
wrap,__r@p_____
gird,__g^rd____
sox,__saks____
girl,__g^rl____
troll,_trol_____
shown,__Son_____
stitch,_stItC____
space,_spes_____
thirst,__T^rst___
mess,__mEs_____
gram,_gr@m_____
thong,__Tang____
siege,__siJ_____
hull,__h^l_____
hulk,__h^lk____
quite,_kwAt_____
quart,_kwort____
mime,__mAm_____
lump,__l^mp____
plea,_pli______
thrice,_TrAs_____
cough,__kaf_____
orb,___orb____
rein,__ren_____
card,__kard____
care,__kEr_____
grist,_grIst____
flare,_flEr_____
punk,__p^nk____
thing,__TIng____
punt,__p^nt____
place,_ples_____
swine,_swAn_____
swing,_swIng____
turf,__t^rf____
hooch,__huC_____
view,__vY______
think,__TInk____
first,__f^rst___
blind,_blAnd____
cheese,__Ciz_____
clause,_klaz_____
crib,_krIb_____
blink,_blInk____
long,__lang____
rink,__rInk____
vote,__vot_____
rind,__rAnd____
ring,__rIng____
drove,_drov_____
creche,_krES_____
size,__sAz_____
sheep,__Sip_____
sheer,__Sir_____
sheet,__Sit_____
wrath,__r@T_____
width,__wItT____
lap,__l@p_____
bite,__bAt_____
breed,_brid_____
draft,_dr@ft____
daunt,__dant____
white,__wAt_____
cite,__sAt_____
friend,_frEnd____
hue,__hY______
hug,__h^g_____
pomp,__pamp____
hub,__h^b_____
cope,__kop_____
hum,__h^m_____
shawl,__Sal_____
wax,__w@ks____
huh,__h^______
snatch,_sn@tC____
hut,__h^t_____
butt,__b^t_____
grunt,_gr^nt____
than,__D@n_____
wide,__wAd_____
serf,__s^rf____
ooze,___uz_____
were,__w^r_____
oath,___oT_____
and,___@nd____
lick,__lIk_____
rend,__rEnd____
froth,_fraT_____
pro,_pro______
sag,__s@g_____
lice,__lAs_____
slap,_sl@p_____
sad,__s@d_____
ant,___@nt____
say,__se______
sax,__s@ks____
rent,__rEnt____
sulk,__s^lk____
sap,__s@p_____
pry,_prA______
bait,__bet_____
sat,__s@t_____
squaw,skwa______
clung,_kl^ng____
squat,skwat_____
knead,__nid_____
tsar,__zar_____
zoo,__zu______
note,__not_____
squad,skwad_____
whorl,__worl____
take,__tek_____
haste,__hest____
blunt,_bl^nt____
sect,__sEkt____
surf,__s^rf____
urge,___^rJ____
thug,__T^g_____
frost,_frast____
pain,__pen_____
pail,__pel_____
track,_tr@k_____
price,_prAs_____
knew,__nu______
paid,__ped_____
wire,__wAr_____
tract,_tr@kt____
pair,__pEr_____
knee,__ni______
lawn,__lan_____
angst,___@ngst__
egg,___eg_____
proud,_prWd_____
drive,_drAv_____
tooth,__tuT_____
bade,__bed_____
squint,skwInt____
axe,___@ks____
crank,_kr@nk____
salt,__salt____
shop,__Sap_____
perch,__p^rC____
shot,__Sat_____
show,__So______
cheat,__Cit_____
cheap,__Cip_____
mince,__mIns____
dirge,__d^rJ____
bright,_brAt_____
shod,__Sad_____
shoe,__Su______
hack,__h@k_____
scarce,_skErs____
tend,__tEnd____
line,__lAn_____
fifth,__fIfT____
ground,_grWnd____
slot,_slat_____
gnaw,__na______
slop,_slap_____
dice,__dAs_____
gulf,__g^lf____
gourd,__gord____
plume,_plum_____
dick,__dIk_____
gull,__g^l_____
jolt,__Jolt____
crime,_krAm_____
gulp,__g^lp____
sloe,_slo______
wood,__wUd_____
black,_bl@k_____
slob,_slab_____
germs,__g^rmz___
robe,__rob_____
wool,__wUl_____
shrill,_SrIl_____
plump,_pl^mp____
nonce,__nans____
get,__gEt_____
jazz,__J@z_____
clang,_kl@ng____
loath,__loT_____
gee,__Ji______
hedge,__hEJ_____
gem,__JEm_____
gel,__JEl_____
prime,_prAm_____
pimp,__pImp____
yield,__yild____
priest,_prist____
though,__To______
warp,__worp____
pang,__p@ng____
pants,__p@nts___
where,__wEr_____
gout,__gWt_____
pane,__pen_____
burst,__b^rst___
sear,__sir_____
seat,__sit_____
seam,__sim_____
seal,__sil_____
sport,_sport____
ways,__wez_____
glaze,_glez_____
gage,__geJ_____
pump,__p^mp____
hiss,__hIs_____
teens,__tinz____
screen,skrin_____
dome,__dom_____
pluck,_pl^k_____
blame,_blem_____
spare,_spEr_____
broil,_brOl_____
spark,_spark____
comb,__kom_____
come,__k^m_____
tug,__t^g_____
quack,_kw@k_____
oust,___Wst____
vue,__vY______
tuck,__t^k_____
tour,__tor_____
