,Unnamed: 0,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score
1619,5783,3k,sail,9,2.197224577,7.60281832,6.47,2.7,2.588,45,35,43,TRUE,TRUE,TRUE,6.38940916
1627,4242,3k,mark,9,2.197224577,7.60281832,6.477485,1.7,2.590994,263,177,138,TRUE,TRUE,TRUE,6.39240316
1676,1396,3k,crack,8,2.079441542,7.73132013,6.33,3.38,2.532,17,42,37,TRUE,TRUE,TRUE,6.397660065
1499,5024,3k,plain,17,2.833213344,6.908951778,7.37,3.04,2.948,15,35,48,TRUE,TRUE,TRUE,6.402475889
1711,895,3k,cart,7,1.945910149,7.877003467,6.16,2.32,2.464,34,32,24,TRUE,TRUE,TRUE,6.402501734
1713,6994,3k,steal,7,1.945910149,7.877003467,6.17,2.09,2.468,14,14,16,TRUE,TRUE,TRUE,6.406501734
1519,2300,lcnl,flap,15,2.708050201,7.045505317,7.21,3.07,2.884,2,7,5,TRUE,TRUE,TRUE,6.406752659
1799,2866,3k,grade,5,1.609437912,8.244096157,5.72,1.36,2.288,48,41,36,TRUE,TRUE,TRUE,6.410048079
1680,482,3k,board,8,2.079441542,7.73132013,6.37,1.8,2.548,81,80,72,TRUE,TRUE,TRUE,6.413660065
1800,6822,3k,sport,5,1.609437912,8.244096157,5.74,1.82,2.296,4,23,34,TRUE,TRUE,TRUE,6.418048079
1801,8139,3k,warn,5,1.609437912,8.244096157,5.74,1.94,2.296,1,9,10,TRUE,TRUE,TRUE,6.418048079
1560,2025,3k,east,12,2.48490665,7.288955913,6.94,3.56,2.776,38,55,74,TRUE,TRUE,TRUE,6.420477957
1767,7418,3k,team,6,1.791759469,8.045182537,6,1.81,2.4,81,114,108,TRUE,TRUE,TRUE,6.422591269
1765,6478,3k,slug,6,1.791759469,8.045182537,6,2.76,2.4,#N/A,#N/A,#N/A,TRUE,TRUE,TRUE,6.422591269
1763,1654,3k,deal,6,1.791759469,8.045182537,6,2.06,2.4,14,35,59,TRUE,TRUE,TRUE,6.422591269
1925,997,3k,cheek,3,1.098612289,8.80140916,5.06,2.1,2.024,7,14,14,TRUE,TRUE,TRUE,6.42470458
1719,6737,3k,speech,7,1.945910149,7.877003467,6.22,1.63,2.488,6,16,20,TRUE,TRUE,TRUE,6.426501734
1688,671,3k,brick,8,2.079441542,7.73132013,6.43,2.09,2.572,9,20,19,TRUE,TRUE,TRUE,6.437660065
1812,781,3k,bun,5,1.609437912,8.244096157,5.79,2.74,2.316,1,0,0,TRUE,TRUE,TRUE,6.438048079
1815,6164,3k,shine,5,1.609437912,8.244096157,5.79,2.12,2.316,53,32,17,TRUE,TRUE,TRUE,6.438048079
1695,168,3k,bank,8,2.079441542,7.73132013,6.44,2.41,2.576,55,87,66,TRUE,TRUE,TRUE,6.441660065
1861,2594,3k,fuss,4,1.386294361,8.487546753,5.5,1.86,2.2,40,14,9,TRUE,TRUE,TRUE,6.443773377
1928,3211,3k,hell,3,1.098612289,8.80140916,5.11,1.88,2.044,0,11,16,TRUE,TRUE,TRUE,6.44470458
1929,4392,3k,mix,3,1.098612289,8.80140916,5.11,1.71,2.044,24,8,9,TRUE,TRUE,TRUE,6.44470458
1669,2191,3k,fetch,9,2.197224577,7.60281832,6.61,2.55,2.644,0,6,12,TRUE,TRUE,TRUE,6.44540916
1631,1411,3k,crane,10,2.302585093,7.487869534,6.775881,2.18,2.7103524,3,10,10,TRUE,TRUE,TRUE,6.454287167
1932,5896,3k,scoop,3,1.098612289,8.80140916,5.14,2.22,2.056,0,8,8,TRUE,TRUE,TRUE,6.45670458
1825,2951,3k,grin,5,1.609437912,8.244096157,5.84,2.01,2.336,6,19,18,TRUE,TRUE,TRUE,6.458048079
1675,1263,3k,coal,9,2.197224577,7.60281832,6.65,2.23,2.66,7,23,39,TRUE,TRUE,TRUE,6.46140916
2022,4756,unl,ours,2,0.693147181,9.243773377,4.601853,2.05,1.8407412,8,14,14,TRUE,TRUE,TRUE,6.462627889
1868,3381,3k,howl,4,1.386294361,8.487546753,5.55,1.85,2.22,10,8,10,TRUE,TRUE,TRUE,6.463773377
1776,110,3k,axe,6,1.791759469,8.045182537,6.11,1.49,2.444,0,3,8,TRUE,TRUE,TRUE,6.466591269
1736,3277,3k,hiss,7,1.945910149,7.877003467,6.33,2,2.532,11,3,3,TRUE,TRUE,TRUE,6.470501734
2026,1051,lcnl,chirp,2,0.693147181,9.243773377,4.63,1.71,1.852,#N/A,#N/A,#N/A,TRUE,TRUE,TRUE,6.473886689
1745,3698,3k,kill,7,1.945910149,7.877003467,6.35,2.58,2.54,82,84,81,TRUE,TRUE,TRUE,6.478501734
1541,6273,3k,sigh,15,2.708050201,7.045505317,7.39,2.35,2.956,6,15,18,TRUE,TRUE,TRUE,6.478752659
1650,4237,3k,march,10,2.302585093,7.487869534,6.85048,2.41,2.740192,23,25,25,TRUE,TRUE,TRUE,6.484126767
1781,7650,3k,tire,6,1.791759469,8.045182537,6.16,1.64,2.464,15,16,11,TRUE,TRUE,TRUE,6.486591269
2041,6388,3k,slap,2,0.693147181,9.243773377,4.67,2.3,1.868,5,2,6,TRUE,TRUE,TRUE,6.489886689
2038,2784,3k,glue,2,0.693147181,9.243773377,4.67,1.08,1.868,13,6,9,TRUE,TRUE,TRUE,6.489886689
1789,6674,3k,soul,6,1.791759469,8.045182537,6.17,2.38,2.468,2,10,20,TRUE,TRUE,TRUE,6.490591269
1755,1564,3k,curl,7,1.945910149,7.877003467,6.39,2.7,2.556,4,6,6,TRUE,TRUE,TRUE,6.494501734
1716,269,3k,beef,8,2.079441542,7.73132013,6.58,2.43,2.632,0,6,8,TRUE,TRUE,TRUE,6.497660065
1761,5221,3k,press,7,1.945910149,7.877003467,6.4,2.89,2.56,5,10,14,TRUE,TRUE,TRUE,6.498501734
2044,1150,3k,claw,2,0.693147181,9.243773377,4.7,2.2,1.88,6,4,2,TRUE,TRUE,TRUE,6.501886689
1843,607,3k,brake,5,1.609437912,8.244096157,5.95,2.22,2.38,3,6,4,TRUE,TRUE,TRUE,6.502048079
1951,5415,3k,quit,3,1.098612289,8.80140916,5.26,2.18,2.104,22,38,26,TRUE,TRUE,TRUE,6.50470458
1694,5793,3k,sale,9,2.197224577,7.60281832,6.76,1.89,2.704,27,21,9,TRUE,TRUE,TRUE,6.50540916
2047,4769,lcnl,ox,2,0.693147181,9.243773377,4.72,1.96,1.888,27,16,13,TRUE,TRUE,TRUE,6.509886689
1588,5645,3k,rob,13,2.564949357,7.201628967,7.28,2.78,2.912,102,10,8,TRUE,TRUE,TRUE,6.512814484
1702,8375,3k,wise,9,2.197224577,7.60281832,6.79,2.55,2.716,106,47,40,TRUE,TRUE,TRUE,6.51740916
1729,1623,3k,dare,8,2.079441542,7.73132013,6.63,2.22,2.652,12,19,26,TRUE,TRUE,TRUE,6.517660065
1502,7256,3k,swamp,21,3.044522438,6.678412627,7.95,2.31,3.18,13,21,13,TRUE,TRUE,TRUE,6.519206314
1678,6018,3k,seek,10,2.302585093,7.487869534,6.94,2.31,2.776,5,3,9,TRUE,TRUE,TRUE,6.519934767
1804,550,lcnl,bored,6,1.791759469,8.045182537,6.25,1.68,2.5,6,14,18,TRUE,TRUE,TRUE,6.522591269
1569,6602,3k,snort,14,2.63905733,7.120776844,7.42,3.64,2.968,0,1,3,TRUE,TRUE,TRUE,6.528388422
2267,6765,3k,spill,1,0,10,3.84,1.64,1.536,5,5,4,TRUE,TRUE,TRUE,6.536
2067,4258,3k,mask,2,0.693147181,9.243773377,4.8,2.46,1.92,28,17,16,TRUE,TRUE,TRUE,6.541886689
1817,6799,3k,spoil,6,1.791759469,8.045182537,6.3,1.72,2.52,5,11,13,TRUE,TRUE,TRUE,6.542591269
1667,1504,3k,crowd,11,2.397895273,7.383885708,7.14,2.75,2.856,24,78,82,TRUE,TRUE,TRUE,6.547942854
1823,3535,3k,jeep,6,1.791759469,8.045182537,6.32,3,2.528,6,7,5,TRUE,TRUE,TRUE,6.550591269
1747,5624,3k,rise,8,2.079441542,7.73132013,6.72,2.85,2.688,2,24,37,TRUE,TRUE,TRUE,6.553660065
1910,865,3k,camp,4,1.386294361,8.487546753,5.78,1.73,2.312,62,80,88,TRUE,TRUE,TRUE,6.555773376
1909,182,3k,bare,4,1.386294361,8.487546753,5.78,2.86,2.312,13,26,37,TRUE,TRUE,TRUE,6.555773376
1919,7066,lcnl,stomp,4,1.386294361,8.487546753,5.79,1.72,2.316,#N/A,#N/A,#N/A,TRUE,TRUE,TRUE,6.559773377
1916,4425,lcnl,month,4,1.386294361,8.487546753,5.79,1.51,2.316,18,50,55,TRUE,TRUE,TRUE,6.559773377
1865,1065,3k,chomp,5,1.609437912,8.244096157,6.11,2.21,2.444,#N/A,#N/A,#N/A,TRUE,TRUE,TRUE,6.566048079
1724,6201,3k,shore,9,2.197224577,7.60281832,6.925079,2.04,2.7700316,53,59,67,TRUE,TRUE,TRUE,6.57144076
1922,5905,3k,score,4,1.386294361,8.487546753,5.83,1.54,2.332,10,7,12,TRUE,TRUE,TRUE,6.575773377
1771,5585,lcnl,rid,8,2.079441542,7.73132013,6.79,2.3,2.716,37,35,30,TRUE,TRUE,TRUE,6.581660065
