,Unnamed: 0,word,source,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Word,SUBTLWF,freq_lcnl_extended,freq_lcnl_extended_log,freq_lcnl_extended_log_flipscale,score,score_extended
2349,2572,bear,3k,197.0,2.296665190261531,1.6840651862744145,3.58,1.68,1.432,902.0,320.0,165.0,bear,57.411764705882355,197.0,2.296665190261531,1.6840651862744145,9.47422815196045,9.47422815196045
182,203,them,3k,458.0,2.661812685537261,1.3189176909986844,4.900249000000001,2.16,1.9600996000000008,1948.0,2256.0,2666.0,them,1778.8235294117646,458.0,2.661812685537261,1.3189176909986844,9.516460918495397,9.516460918495397
4,6,sleep,3k,113.0,2.0569048513364727,1.9238255251994727,2.79,1.03,1.1159999999999999,477.0,288.0,213.0,sleep,227.94117647058823,113.0,2.0569048513364727,1.9238255251994727,9.523389338198154,9.523389338198154
2449,2679,off,3k,225.0,2.3541084391474008,1.6266219373885447,3.834549,2.09,1.5338196000000002,862.0,1001.0,1023.0,off,1179.5098039215686,225.0,2.3541084391474008,1.6266219373885447,9.527725780859907,9.527725780859907
2233,2447,put,3k,206.0,2.315970345456918,1.6647600310790276,3.72,2.3,1.4880000000000002,1936.0,1267.0,973.0,put,828.4509803921569,206.0,2.315970345456918,1.6647600310790276,9.546660108776598,9.546660108776598
341,381,stop,3k,114.0,2.060697840353612,1.9200325361823334,2.89,1.6,1.156,800.0,408.0,348.0,stop,707.2745098039215,114.0,2.060697840353612,1.9200325361823336,9.610113876638167,9.610113876638168
767,849,red,3k,181.0,2.2600713879850747,1.7206589885508707,3.68,1.63,1.472,892.0,372.0,316.0,red,148.05882352941177,181.0,2.2600713879850747,1.7206589885508707,9.702306459928048,9.702306459928048
3436,7912,oh,unl,351.0,2.546542663478131,1.4341877130578142,4.719080000000001,1.85,1.8876320000000004,867.0,597.0,477.0,#N/A,#N/A,351.0,2.546542663478131,1.4341877130578142,9.73873699570235,9.73873699570235
1209,1330,mom,3k,67.0,1.8325089127062364,2.1482214638297092,2.22,1.22,0.8880000000000001,725.0,375.0,184.0,#N/A,#N/A,67.0,1.8325089127062364,2.1482214638297092,9.738775123403983,9.738775123403983
1776,1953,look,3k,223.0,2.3502480183341627,1.6304823582017827,4.05,1.68,1.62,2541.0,1488.0,1416.0,look,1947.2745098039215,223.0,2.3502480183341627,1.6304823582017827,9.75668825370624,9.75668825370624
584,657,head,3k,145.0,2.164352855784437,1.8163775207515083,3.42,1.02,1.368,643.0,698.0,703.0,head,371.5098039215686,145.0,2.164352855784437,1.8163775207515083,9.777321322630279,9.777321322630279
1385,1520,small,3k,126.0,2.103803720955957,1.8769266555799886,3.22,1.52,1.288,452.0,546.0,623.0,small,124.96078431372548,126.0,2.103803720955957,1.8769266555799886,9.78924329452996,9.78924329452996
2644,2911,as,lcnl,844.0,2.926856708949692,1.0538736675862532,6.104490000000001,2.3,2.4417960000000005,2243.0,3346.0,4616.0,as,2217.0196078431372,844.0,2.926856708949692,1.0538736675862532,9.793047836551887,9.793047836551887
510,575,right,3k,257.0,2.41161970596323,1.5691106705727154,4.3460849999999995,1.59,1.7384340000000005,1499.0,1410.0,1229.0,right,4008.392156862745,257.0,2.41161970596323,1.5691106705727154,9.837972347004502,9.837972347004502
1169,1285,two,3k,236.0,2.374748346010104,1.6059820305258414,4.239515000000001,2.06,1.6958060000000004,1053.0,1180.0,1369.0,two,1066.3529411764705,236.0,2.374748346010104,1.6059820305258414,9.860452106840446,9.860452106840446
45,51,blue,3k,144.0,2.161368002234975,1.8193623743009706,3.53,1.68,1.412,369.0,202.0,216.0,blue,102.3921568627451,144.0,2.161368002234975,1.8193623743009706,9.897768310053397,9.897768310053397
