word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale
fight,38,3.63758616,6.031377497
foot,38,3.63758616,6.031377497
frances,38,3.63758616,6.031377497
freight,38,3.63758616,6.031377497
gold,38,3.63758616,6.031377497
idea,38,3.63758616,6.031377497
laughed,38,3.63758616,6.031377497
listen,38,3.63758616,6.031377497
mountain,38,3.63758616,6.031377497
nine,38,3.63758616,6.031377497
pick,38,3.63758616,6.031377497
second,38,3.63758616,6.031377497
seemed,38,3.63758616,6.031377497
square,38,3.63758616,6.031377497
straight,38,3.63758616,6.031377497
use,38,3.63758616,6.031377497
winter,38,3.63758616,6.031377497
cheese,37,3.610917913,6.060472672
different,37,3.610917913,6.060472672
horse,37,3.610917913,6.060472672
hour,37,3.610917913,6.060472672
means,37,3.610917913,6.060472672
princess,37,3.610917913,6.060472672
shoe,37,3.610917913,6.060472672
stick,37,3.610917913,6.060472672
tall,37,3.610917913,6.060472672
wet,37,3.610917913,6.060472672
wide,37,3.610917913,6.060472672
wild,37,3.610917913,6.060472672
basket,36,3.583518938,6.090365073
cellar,36,3.583518938,6.090365073
corner,36,3.583518938,6.090365073
cup,36,3.583518938,6.090365073
dump,36,3.583518938,6.090365073
else,36,3.583518938,6.090365073
hop,36,3.583518938,6.090365073
late,36,3.583518938,6.090365073
lucy,36,3.583518938,6.090365073
perfect,36,3.583518938,6.090365073
smell,36,3.583518938,6.090365073
stairs,36,3.583518938,6.090365073
star,36,3.583518938,6.090365073
stars,36,3.583518938,6.090365073
stay,36,3.583518938,6.090365073
though,36,3.583518938,6.090365073
birthday,35,3.555348061,6.121099624
busy,35,3.555348061,6.121099624
elephant,35,3.555348061,6.121099624
large,35,3.555348061,6.121099624
line,35,3.555348061,6.121099624
peep,35,3.555348061,6.121099624
playing,35,3.555348061,6.121099624
purple,35,3.555348061,6.121099624
quack,35,3.555348061,6.121099624
real,35,3.555348061,6.121099624
saying,35,3.555348061,6.121099624
shook,35,3.555348061,6.121099624
shut,35,3.555348061,6.121099624
times,35,3.555348061,6.121099624
trick,35,3.555348061,6.121099624
